SHELL OIL 574421102QPS     FISHERS        IN ,ASDF1312,10,100
SHELL OIL 574421112QPS     FISHERS        IN ,ASDF1313,10,100
SINGER SHOP COM            800-5432825    TN ,ASDF1314,10,100
SPEEDWAY 03352 140         FISHERS        IN ,ASDF1315,10,100
STEAK-N-SHAKE#0036 Q99     INDIANAPOLIS   IN ,ASDF1316,10,100
STRIDE RITE #1651          PLAINFIELD     IN ,ASDF1317,10,100
TACO BELL #16000160978     FISHERS        IN ,ASDF1318,10,100
TARGET        00006353     INDIANAPOLIS   IN ,ASDF1319,10,100
TARGET        00010595     NASHVILLE      TN ,ASDF1320,10,100
TARGET        00013508     FISHERS        IN ,ASDF1321,10,100
TEXAS ROADHOUSE            FISHERS        IN ,ASDF1322,30,100
TGI FRIDAY'S #426          INDIANAPOLIS   IN ,ASDF1323,10,70
THE CHEESE SHOP    QPS     INDIANAPOLIS   IN ,ASDF1324,10,100
THE OLIVE GARD00018051     NOBLESVILLE    IN ,ASDF1325,30,100
THE ORDINARY RESTAURAN     NASHVILLE      IN ,ASDF1326,10,100
THE WOODEN KEY #41         NOBLESVILLE    IN ,ASDF1327,10,100
THORNTONS    #0110 Q35     INDIANAPOLIS   IN ,ASDF1328,10,100
TIV*TIVO SERVICE           877-367-8486   CA ,ASDF1329,10,50
TJ MAXX #319               NOBLESVILLE    IN ,ASDF1330,10,100
TJ MAXX #319       QPS     NOBLESVILLE    IN ,ASDF1331,10,100
TRAVEL INSURANCE POLIC     08007296021    VA ,ASDF1332,10,100
UNCLE BILLS PET CENTER     FISHERS        IN ,ASDF1333,10,100
USPS 17278300330916274     FISHERS        IN ,ASDF1334,10,100
WAL-MART #0923             NOBLESVILLE    IN ,ASDF1335,10,100
WENDYS-TFL #0322   Q25     FISHERS        IN ,ASDF1336,10,100
WETZEL'S PRETZELS          INDIANAPOLIS   IN ,ASDF1337,2,20
WOODEN KEY #16             CARMEL         IN ,ASDF1338,10,100
YOGI FROZEN YOGURT         FISHERS        IN ,ASDF1339,10,100
